CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50055935,TROPICAL REVIVAL RESTAURANT & CATERING,QUEENS,1240C,CLINTONVILLE ST,11357,9175637877,Caribbean,11/15/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,11/15/2016,08/28/2017,Pre-permit (Operational) / Initial Inspection
41468267,ICHI UMI,MANHATTAN,6,EAST   32 STREET,10016,2127251333,Japanese,09/26/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,09/26/2016,08/28/2017,Cycle Inspection / Re-inspection
50047546,BROOKLYN DINER,BROOKLYN,5922-24,AVENUE N,11234,7182092246,American,04/25/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,47,,,08/28/2017,Cycle Inspection / Initial Inspection
50000892,ANABLE BASIN SAILING,QUEENS,Apr-40,44 DRIVE,11101,6462071333,American,05/20/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,05/20/2015,08/28/2017,Cycle Inspection / Initial Inspection
50012840,MR. WONTON,QUEENS,7805,JAMAICA AVE,11421,7182963800,Chinese,06/16/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,06/16/2015,08/28/2017,Cycle Inspection / Re-inspection
41312436,BAGEL WORLD,BROOKLYN,223,DEKALB AVENUE,11205,7186432686,Bagels/Pretzels,07/24/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,,,08/28/2017,Cycle Inspection / Initial Inspection
50042390,BEST EAST STAR RESTAURANT,QUEENS,8024,NORTHERN BLVD,11372,7184783088,Chinese,02-07-17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,02-07-17,08/28/2017,Cycle Inspection / Initial Inspection
50032836,HAPPY RESTAURANT,QUEENS,4028,MAIN ST,11354,9175672882,Chinese,09/17/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,25,,,08/28/2017,Cycle Inspection / Compliance Inspection
40668380,WOLF AND LAMB,MANHATTAN,10,EAST   48 STREET,10017,2123171950,Steak,12/16/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,12/16/2014,08/28/2017,Cycle Inspection / Re-inspection
50060117,KBBQ,MANHATTAN,672,LEXINGTON AVE,10022,2123178822,Korean,06/26/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,06/26/2017,08/28/2017,Pre-permit (Operational) / Initial Inspection
41681367,JUMBO CHINESE KITCHEN,QUEENS,11304,JAMAICA AVENUE,11418,7184415946,Chinese,07/13/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,38,,,08/28/2017,Cycle Inspection / Initial Inspection
41184464,REGAL CINEMAS,QUEENS,8028,COOPER AVENUE,11385,7184161349,American,10/17/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,,,08/28/2017,Cycle Inspection / Initial Inspection
41473028,OLD SICHUAN CUISINE,MANHATTAN,65,BAYARD STREET,10013,2122279888,Chinese,12-01-14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,,08/28/2017,Cycle Inspection / Initial Inspection
41427683,HUDSON'S MARKET @ SHERATON NEW YORK,MANHATTAN,811,7 AVENUE,10019,2128416569,American,04-02-15,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,11,A,04-02-15,08/28/2017,Cycle Inspection / Initial Inspection
41454995,MANOLO TAPAS RESTAURANT,MANHATTAN,4161,BROADWAY,10033,2129239100,Tapas,01/21/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,17,B,01/21/2016,08/28/2017,Cycle Inspection / Re-inspection
50003400,THE CHESTER,MANHATTAN,18,9TH AVE,10014,6462532284,American,11/27/2015,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,54,,,08/28/2017,Administrative Miscellaneous / Initial Inspection
41278299,LEMON LEAVES,MANHATTAN,55,LIBERTY STREET,10005,2124252890,Chinese/Japanese,08/24/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,08/24/2016,08/28/2017,Cycle Inspection / Re-inspection
41704194,THE BREAD FACTORY,MANHATTAN,935,8 AVENUE,10019,2125862221,American,03/17/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,18,,,08/28/2017,Cycle Inspection / Initial Inspection
40782999,WENDY'S,STATEN ISLAND,26,RICHMOND HILL ROAD,10314,7187613950,Hamburgers,02/23/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,02/23/2017,08/28/2017,Cycle Inspection / Initial Inspection
41105300,"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,1710,EASTERN PARKWAY,11233,6463548755,American,11/18/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,16,,,08/28/2017,Cycle Inspection / Initial Inspection
50003346,BOMBAY SANDWICH CO,MANHATTAN,48,W. 27TH STREET,10001,6467819756,Vegetarian,06-03-16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,08/28/2017,Cycle Inspection / Initial Inspection
50000345,BROTHERS BAGELS,BROOKLYN,285,COURT STREET,11231,7182224357,American,01-08-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,,08/28/2017,Cycle Inspection / Initial Inspection
41263738,MEXICAN FAST FOOD,BRONX,2620,JEROME AVENUE,10468,7184503698,Mexican,05-03-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,,08/28/2017,Cycle Inspection / Initial Inspection
50003451,CHINA AAA,QUEENS,8210,ROOSEVELT AVE,11372,7185058866,Chinese,12-05-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,B,12-05-13,08/28/2017,Pre-permit (Operational) / Re-inspection
41411901,GULLUOGLU BAKLAVA & CAFE,MANHATTAN,982,2 AVENUE,10022,2128130500,Turkish,05/27/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,05/27/2015,08/28/2017,Cycle Inspection / Re-inspection
41223834,CHIPOTLE MEXICAN GRILL,MANHATTAN,350,5 AVENUE,10118,2126950412,Mexican,01/20/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,52,,,08/28/2017,Cycle Inspection / Initial Inspection
41313211,AFRICAN AMERICAN BEST FOOD,MANHATTAN,410,LENOX AVENUE,10037,2126908052,African,01/18/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,29,,,08/28/2017,Cycle Inspection / Initial Inspection
41708433,CHINA WOK II,QUEENS,10315,101 AVENUE,11416,7188471898,Chinese,08/16/2017,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,Z,08/16/2017,08/28/2017,Cycle Inspection / Reopening Inspection
41179165,BROOK AVENUE DELI & PIZZA,BRONX,348,BROOK AVENUE,10454,7186654068,Pizza,08-02-17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,08-02-17,08/28/2017,Cycle Inspection / Initial Inspection
41685305,BONAO CHIMI RESTAURANT,QUEENS,7614,JAMAICA AVENUE,11421,3478293089,Spanish,01/14/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,27,,,08/28/2017,Cycle Inspection / Initial Inspection
50015102,ENZO'S PIZZERIA,BROOKLYN,1623,ORIENTAL BLVD,11235,7187439056,Italian,05/16/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,08/28/2017,Cycle Inspection / Initial Inspection
40602855,STARBUCKS,MANHATTAN,462,7 AVENUE,10018,2122796432,CafÃ©/Coffee/Tea,11-09-15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,11-09-15,08/28/2017,Cycle Inspection / Initial Inspection
41363184,BEAN N BEAN,MANHATTAN,71,BROADWAY,10006,2124228083,American,04-01-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,04-01-16,08/28/2017,Cycle Inspection / Initial Inspection
41177037,QUEEN'S PIZZA,QUEENS,11614,QUEENS BOULEVARD,11375,7185445800,Pizza,11-07-16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,18,,,08/28/2017,Cycle Inspection / Initial Inspection
41010981,THE BROOKLYN TABERNACLE,BROOKLYN,17,SMITH STREET,11201,7182902000,American,06/24/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,06/24/2014,08/28/2017,Cycle Inspection / Re-inspection
50046939,ARMANDO'S PIZZA,BROOKLYN,5119,AVENUE U,11234,3474624150,Pizza,06-03-17,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,06-03-17,08/28/2017,Cycle Inspection / Initial Inspection
41100006,PLAKA RESTAURANT,BROOKLYN,406,86 STREET,11209,7186803056,Greek,06-09-15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,08/28/2017,Cycle Inspection / Initial Inspection
50045888,WHITE HORSE TAVERN,MANHATTAN,25,BRIDGE ST,10004,2126689046,American,10/17/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,24,,,08/28/2017,Cycle Inspection / Initial Inspection
41600159,JUMBO'S HAMBURGERS,MANHATTAN,274,WEST  145 STREET,10039,2124915444,Hamburgers,03/22/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,26,,,08/28/2017,Cycle Inspection / Initial Inspection
41284638,MCDONALD'S,MANHATTAN,145,EAST  125 STREET,10035,6466721381,Hamburgers,04-06-17,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,04-06-17,08/28/2017,Cycle Inspection / Initial Inspection
50064086,Little Italy,MANHATTAN,180,VARICK ST,10014,2123664848,Italian,07-05-17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,B,07-05-17,08/28/2017,Pre-permit (Operational) / Re-inspection
50019199,TOKYO BAY,BROOKLYN,611,86TH ST,11209,7188368688,Japanese,03-07-16,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,03-07-16,08/28/2017,Cycle Inspection / Re-inspection
50000881,ROSARINA BAKERY,BRONX,5219,BROADWAY,10463,6464499278,Bakery,10/29/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,63,,,08/28/2017,Cycle Inspection / Initial Inspection
41083735,PLAZA TULCINGO RESTAURANT,BRONX,10,EAST CLARKE PLACE,10452,7186815020,Mexican,09-08-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,33,C,09-08-16,08/28/2017,Cycle Inspection / Re-inspection
50005163,FORTUNE BAKERY,BROOKLYN,5612,8TH AVE,11220,7185677880,Chinese,07-08-14,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,56,,,08/28/2017,Cycle Inspection / Initial Inspection
41180783,O'SAKE JAPANESE RESTAURANT,QUEENS,263,BEACH  116 STREET,11694,7189458888,Japanese,10/16/2014,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,46,,,08/28/2017,Cycle Inspection / Initial Inspection
50014239,HUNGRY BIRD,BRONX,980,MORRIS AVE,10456,9178014900,Indian,11-04-15,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,A,11-04-15,08/28/2017,Cycle Inspection / Re-inspection
41590345,TWO DOOR TAVERN,BROOKLYN,116,NORTH    5 STREET,11249,7185890222,American,01/14/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,01/14/2016,08/28/2017,Cycle Inspection / Re-inspection
50005674,Daisy's Diner,BROOKLYN,452,5TH AVE,11215,7187881438,American,02-03-15,Violations were cited in the following area(s).,03C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",Critical,20,B,02-03-15,08/28/2017,Cycle Inspection / Re-inspection
40400129,LA CARIDAD RESTAURANT,MANHATTAN,2092,AMSTERDAM AVENUE,10032,2129237648,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",06-09-14,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,22,,,08/28/2017,Cycle Inspection / Initial Inspection
41117050,28 NOODLES,MANHATTAN,417,3 AVENUE,10016,2126792888,Chinese,06-12-15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,06-12-15,08/28/2017,Cycle Inspection / Initial Inspection
50038353,TOWERS RESTAURANT AND CATERING,QUEENS,27248,GRAND CENTRAL PKWY,11005,7188198228,Continental,12/31/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,21,,,08/28/2017,Trans Fat / Initial Inspection
40581917,EMPORIUM BRASIL RESTAURANT,MANHATTAN,15,WEST   46 STREET,10036,2127644646,Brazilian,09/24/2015,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9,A,09/24/2015,08/28/2017,Cycle Inspection / Initial Inspection
41547073,TACO KING CHINESE REST,BROOKLYN,61A,CHURCH AVENUE,11218,7184351899,Chinese,09/28/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,,08/28/2017,Cycle Inspection / Initial Inspection
41412192,IMPERIAL TASTE,QUEENS,22142,HORACE HARDING EXPRESSWAY,11364,7182798174,Chinese,01/17/2017,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,85,,,08/28/2017,Administrative Miscellaneous / Initial Inspection
50054588,THE JUILLIARD SCHOOL(ROSE CAFE),MANHATTAN,165,WEST 65 ST,10023,2126714313,American,10/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,10/21/2016,08/28/2017,Pre-permit (Operational) / Initial Inspection
41670338,A ASO SUSHI,MANHATTAN,1103,1 AVENUE,10065,2128888276,Japanese,05/27/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,08/28/2017,Cycle Inspection / Initial Inspection
41717500,JOE'S PIZZA,MANHATTAN,150,EAST   14 STREET,10003,2123889474,Pizza,12/17/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,B,12/17/2015,08/28/2017,Cycle Inspection / Re-inspection
41567437,ANGELA'S BAKERY,BROOKLYN,717,KNICKERBOCKER AVENUE,11221,7184180095,Bakery,05/18/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,05/18/2017,08/28/2017,Cycle Inspection / Re-inspection
