activity_date,employee_id,facility_address,facility_city,facility_id,facility_name,facility_state,facility_zip,grade,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,score,serial_number,service_code,service_description
30-08-16,EE0000721,1151 W VENICE BLVD,LOS ANGELES,FA0031441,SABOR MEXICANO RESTAURANT,CA,90015,B,OW0036248,"TORRES, CATALINA",RESTAURANT (0-30) SEATS HIGH RISK,1632,SABOR MEXICANO RESTAURANT,ACTIVE,PR0047260,86,DALJEXT7F,1,ROUTINE INSPECTION
01-06-16,EE0000998,1604 MONTEBELLO TOWN CTR,MONTEBELLO,FA0025866,GREAT KHAN'S,CA,90640,A,OW0020034,"KTL INVESTMENT, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,GREAT KHAN'S,ACTIVE,PR0035905,94,DACRUG6PA,1,ROUTINE INSPECTION
05-05-17,EE0000730,305 E CARSON ST,CARSON,FA0174523,FABULOUS GRILL,CA,90745,A,OW0181172,"HELENSTAR 2, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,FABULOUS GRILL,ACTIVE,PR0167534,90,DAXCJVZIY,1,ROUTINE INSPECTION
27-01-16,EE0000215,10130 RIVERSIDE DR,TOLUCA LAKE,FA0038513,TRADER JOE'S #54,CA,91602,A,OW0036363,TRADER JOES COMPANY INC.,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,TRADER JOE'S #54,ACTIVE,PR0028476,96,DA4XRFEBK,1,ROUTINE INSPECTION
13-07-17,EE0000721,110 E 9TH ST BL034,LOS ANGELES,FA0052584,TRIMANA OF CALIFORNIAMART,CA,90079,A,OW0018415,"KANG, YOUNG H",RESTAURANT (0-30) SEATS HIGH RISK,1632,TRIMANA OF CALIFORNIAMART,ACTIVE,PR0003805,93,DAF8NWBJD,1,ROUTINE INSPECTION
16-05-16,EE0000724,2514 E GAGE AVE,HUNTINGTON PARK,FA0009616,COJUTEPEQUE RESTAURANT,CA,90255,A,OW0028859,"PORTILLO, JOSE",RESTAURANT (31-60) SEATS HIGH RISK,1635,COJUTEPEQUE RESTAURANT,ACTIVE,PR0007059,90,DAY0JXQ4R,1,ROUTINE INSPECTION
08-12-15,EE0000605,6600 TOPANGA CANYON BLVD UNIT 9010,CANOGA PARK,FA0160672,PRINKIPIA,CA,91303,A,OW0125624,"EAN PARK TK11, INC.","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,PRINKIPIA MARKET,ACTIVE,PR0148758,93,DAZL0RD9K,1,ROUTINE INSPECTION
06-11-17,EE0000688,18530 DEVONSHIRE ST,NORTHRIDGE,FA0053649,VILLAGE TANDOOR,CA,91324,A,OW0032924,SIM & MENU INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,VILLAGE TANDOOR,ACTIVE,PR0027682,95,DAZ1XKD6Y,1,ROUTINE INSPECTION
30-12-15,EE0000747,618 SHOPPERS LN,COVINA,FA0013838,FONDA DON CHON,CA,91723,A,OW0012090,FONDA DON CHON RESTAURANT IN,RESTAURANT (61-150) SEATS HIGH RISK,1638,FONDA DON CHON,ACTIVE,PR0039266,90,DA0475114,1,ROUTINE INSPECTION
11-01-17,EE0000267,1238 N HACIENDA BLVD,LA PUENTE,FA0074101,WINGSTOP #465,CA,91744,A,OW0031213,SAGAR HOLDING CORPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WINGSTOP #465,ACTIVE,PR0023169,97,DAFFEEOY4,1,ROUTINE INSPECTION
06-12-16,EE0001000,5049 W AVENUE N,LANCASTER,FA0039378,MCDONALD'S #30907,CA,93551,A,OW0184106,"MINC, INC.",RESTAURANT (61-150) SEATS MODERATE RISK,1637,MC DONALD'S,ACTIVE,PR0031041,90,DAOKA97PH,1,ROUTINE INSPECTION
02-02-16,EE0000838,8000 W SUNSET BLVD,LOS ANGELES,FA0035048,AMC DINE-IN SUNSET 5,CA,90046,A,OW0034300,"SUNDANCE CINEMAS, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,AMC DINE-IN SUNSET 5,ACTIVE,PR0025356,90,DABQZRFDG,1,ROUTINE INSPECTION
10-10-17,EE0000145,12727 TOWNE CENTER DR,CERRITOS,FA0039511,MIMI'S CAFE,CA,90703,A,OW0034634,"SWH MIMI'S CAFE, LLC.",RESTAURANT (151 + ) SEATS HIGH RISK,1641,MIMI'S CAFE,ACTIVE,PR0047674,90,DAQKQQRJ4,1,ROUTINE INSPECTION
05-12-17,EE0000924,2180 WESTWOOD BLVD STE 1G,LOS ANGELES,FA0180517,THAI MOON RESTAURANT,CA,90025,B,OW0106677,A3P LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,THAI MOON RESTAURANT,ACTIVE,PR0174288,85,DAWYI9ITY,1,ROUTINE INSPECTION
27-01-16,EE0000074,6430 SAN FERNANDO RD,GLENDALE,FA0066356,MARAN RESTAURANT,CA,91201,A,OW0007110,"CHARGCHIAN, ROBERT",RESTAURANT (61-150) SEATS HIGH RISK,1638,MARAN RESTAURANT,ACTIVE,PR0013200,93,DAC40OWZ7,1,ROUTINE INSPECTION
19-06-17,EE0000535,15226 E ROSECRANS AVE,LA MIRADA,FA0007500,CARL'S JR #24,CA,90638,A,OW0006172,CARL KARCHER ENTERPRISES INC,RESTAURANT (61-150) SEATS MODERATE RISK,1637,CARL'S JR #24,ACTIVE,PR0043878,91,DA2NMIW3K,1,ROUTINE INSPECTION
29-06-17,EE0000029,11750 1/2 ARTESIA BLVD,ARTESIA,FA0138835,SEOUL SOONDAE,CA,90701-3804,A,OW0102130,JI WON JARUS,RESTAURANT (31-60) SEATS HIGH RISK,1635,SEOUL SOONDAE,ACTIVE,PR0123203,95,DAGIOYTEE,1,ROUTINE INSPECTION
17-09-15,EE0000926,1000 TORRANCE BLVD E,REDONDO BEACH,FA0025628,MOON DONUTS,CA,90277,A,OW0025186,"MOUN, STEVE",RESTAURANT (0-30) SEATS MODERATE RISK,1631,MOON DONUTS,ACTIVE,PR0030732,96,DAQERNGD0,1,ROUTINE INSPECTION
25-04-17,EE0000860,128 SUMNER AVE D,AVALON,FA0068575,PETE'S CAFE,CA,90704,B,OW0021651,"LEYVA, RICHARDO",RESTAURANT (61-150) SEATS HIGH RISK,1638,PETE'S CAFE,ACTIVE,PR0019397,88,DAA7S14SN,1,ROUTINE INSPECTION
17-12-15,EE0000367,1000 UNIVERSAL CITY PLZ,UNIVERSAL CITY,FA0069943,SADDLE RANCH CHOP HOUSE,CA,91608,A,OW0029805,REA-2003-1 LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,SADDLE RANCH CHOP HOUSE,INACTIVE,PR0028810,90,DAHQ06LTD,1,ROUTINE INSPECTION
06-03-17,EE0000860,550 DEEP VALLEY DR STE 155,ROLLING HILLS ESTATES,FA0031295,RUBIO'S FRESH MEXICAN GRILL #132,CA,90274,A,OW0030364,"RUBIO'S RESTAURANTS, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,RUBIO'S FRESH MEXICAN GRILL #132,ACTIVE,PR0011515,96,DANTZF7FT,1,ROUTINE INSPECTION
07-04-16,EE0000873,1630 W REDONDO BEACH BLVD,GARDENA,FA0176934,TORAJI RAMEN,CA,90247,B,OW0182928,CHOKI INTERNATIONAL GROUP INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,TORAJI RAMEN,ACTIVE,PR0169857,84,DAHNBPAY0,1,ROUTINE INSPECTION
15-12-16,EE0000349,4660 E GAGE AVE,BELL,FA0031766,JIM'S BURGERS,CA,90201,A,OW0018503,"KARMOS, ANGELO",RESTAURANT (0-30) SEATS HIGH RISK,1632,JIM'S BURGERS,ACTIVE,PR0045973,91,DAH4TFLZW,1,ROUTINE INSPECTION
06-03-17,EE0000731,1110 W ANAHEIM ST # 3,WILMINGTON,FA0202837,QUIERO MAS TACOS,CA,90744,A,OW0208121,HEBER JOBANY MARTINEZ,RESTAURANT (0-30) SEATS HIGH RISK,1632,QUIERO MAS TACOS,ACTIVE,PR0175162,92,DAVEW28O0,1,ROUTINE INSPECTION
21-07-16,EE0000721,1127 WILSHIRE BLVD # 201,LOS ANGELES,FA0177766,SAMARITAN  MEDICAL TOWER PHARMACY,CA,90017,A,OW0183663,UNITED MEDICARE INC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,SAMARITAN  MEDICAL TOWER PHARMACY,ACTIVE,PR0170830,98,DAS7QA0M5,1,ROUTINE INSPECTION
15-09-17,EE0000375,1900 AVENUE OF THE STARS STE A100,LOS ANGELES,FA0177415,TRIMANA,CA,90067,A,OW0183342,MARTIN CHO,RESTAURANT (31-60) SEATS MODERATE RISK,1634,TRIMANA,ACTIVE,PR0170410,90,DABTORBEO,1,ROUTINE INSPECTION
15-12-16,EE0000855,9705 SANTA MONICA BLVD,BEVERLY HILLS,FA0017535,HOT OVEN,CA,90210,A,OW0016389,"HOT OVEN, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,HOT OVEN,ACTIVE,PR0034050,98,DAHESNEZE,1,ROUTINE INSPECTION
15-08-17,EE0000838,8152 W SUNSET BLVD,LOS ANGELES,FA0038335,MCDONALD'S,CA,90046,A,OW0017898,"JONES,FRANCES R",RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALDS,ACTIVE,PR0002888,94,DAK51GFJC,1,ROUTINE INSPECTION
16-05-17,EE0000659,50 N LA CIENGA BLVD # 120,BEVERLY HILLS,FA0165844,SPICE AFFAIR,CA,90211-2227,A,OW0129075,"SPICE AFFAIR, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,SPICE AFFAIR,ACTIVE,PR0156024,92,DABE0MFBA,1,ROUTINE INSPECTION
23-05-17,EE0000860,309 CRESCENT AVE,AVALON,FA0008069,CATALINA CANTINA,CA,90704,A,OW0015239,HERLIHY-CANNON INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,CATALINA CANTINA,ACTIVE,PR0000122,91,DARTEGJXG,1,ROUTINE INSPECTION
02-06-16,EE0000081,4063 GAGE AVE,BELL,FA0013563,FIESTA MEXICANA FAMILY REST,CA,90201,A,OW0009956,DIAZ ABEL ET AL,RESTAURANT (151 + ) SEATS MODERATE RISK,1640,FIESTA MEXICANA FAMILY REST,ACTIVE,PR0001687,90,DARGN3YF0,1,ROUTINE INSPECTION
31-01-17,EE0001000,3051 W RANCHO VISTA BLVD,PALMDALE,FA0012494,EL POLLO LOCO #5979,CA,93551,A,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL POLLO LOCO #5979,ACTIVE,PR0018409,97,DANAVM6Q1,1,ROUTINE INSPECTION
29-03-16,EE0000947,13242 E IMPERIAL HWY,SANTA FE SPRINGS,FA0051365,THE FLAME BROILER,CA,90670,A,OW0021222,"LEE, HYO SUK",RESTAURANT (31-60) SEATS HIGH RISK,1635,THE FLAME BROILER,ACTIVE,PR0039867,98,DAJ2SCYEG,1,ROUTINE INSPECTION
10-02-17,EE0000734,1233 W RANCHO VISTA BLVD STE 909,PALMDALE,FA0041862,MRS FIELD'S COOKIES,CA,93551,A,OW0035182,TEA YEOUNG YUN,RESTAURANT (0-30) SEATS LOW RISK,1630,MRS FIELD'S COOKIES,ACTIVE,PR0010155,91,DAGVYFCM0,1,ROUTINE INSPECTION
04-10-17,EE0000733,6000 SEPULVEDA BLVD STE 2250,CULVER CITY,FA0225887,WHICH WICH,CA,90230,A,OW0227767,"ARAMARK SERVICES, INC",RESTAURANT (31-60) SEATS MODERATE RISK,1634,WHICH WICH @ TARGET,ACTIVE,PR0181207,97,DAYELR0XL,1,ROUTINE INSPECTION
02-02-16,EE0000721,320 W 9TH ST,LOS ANGELES,FA0057267,ALI BABA,CA,90015,A,OW0032613,"SHIM,JONG B",RESTAURANT (0-30) SEATS HIGH RISK,1632,ALI BABA,INACTIVE,PR0045417,97,DAX2DWYH9,1,ROUTINE INSPECTION
23-08-16,EE0000122,1000 VIN SCULLY AVE,LOS ANGELES,FA0019271,DODGER STADIUM,CA,90012,A,OW0021606,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LEVY REST FOOD PREP KITCHEN,ACTIVE,PR0044490,95,DAI0X3ZUU,1,ROUTINE INSPECTION
23-06-16,EE0000524,251 W BENCAMP ST # C,SAN GABRIEL,FA0224508,MON-LAND HOT POT CITY,CA,91776,A,OW0228977,BAI JIN INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,MON-LAND HOT POT CITY,ACTIVE,PR0179732,92,DAEI0KFGL,1,ROUTINE INSPECTION
22-10-15,EE0000923,3060 N SAN FERNANDO RD,LOS ANGELES,FA0060791,DENNY'S RESTAURANT #2125,CA,90065,A,OW0009769,DENNY'S INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,DENNY'S RESTAURANT #2125,ACTIVE,PR0037296,96,DA91VB8RJ,1,ROUTINE INSPECTION
08-12-15,EE0000727,9829 VENICE BLVD,LOS ANGELES,FA0179225,COFFEE BEAN & TEA LEAF #348,CA,90034,A,OW0017025,INTERNATIONAL COFFEE & TEA LLC,RESTAURANT (0-30) SEATS LOW RISK,1630,COFFEE BEAN & TEA LEAF #348,ACTIVE,PR0172787,95,DAGEEUHKG,1,ROUTINE INSPECTION
01-12-17,EE0000745,6118 BELLFLOWER BLVD,LAKEWOOD,FA0058169,BELLFLOWER DONUTS,CA,90712,A,OW0028915,"POV, VANNA",RESTAURANT (0-30) SEATS MODERATE RISK,1631,BELLFLOWER DONUTS,ACTIVE,PR0046140,95,DAWT4GQNP,1,ROUTINE INSPECTION
20-12-16,EE0000957,9200 SUNSET BLVD STE 170,WEST HOLLYWOOD,FA0242032,TANTRIS YOGA STUDIO,CA,90069,A,OW0237774,"TANTRIS RETAIL, LLC",RESTAURANT (0-30) SEATS LOW RISK,1630,TANTRIS YOGA STUDIO,ACTIVE,PR0190183,96,DAN9X3XG8,1,ROUTINE INSPECTION
03-10-17,EE0000707,3200 S MAPLE AVE,LOS ANGELES,FA0009813,BIRRIERIA BALDOMERO,CA,90011,A,OW0026933,"OROZCO,BALDOMERO L DBA",RESTAURANT (0-30) SEATS HIGH RISK,1632,BIRRIERIA BALDOMERO,ACTIVE,PR0040519,94,DAKUOY0BV,1,ROUTINE INSPECTION
02-08-17,EE0000163,10628 E IMPERIAL HWY,NORWALK,FA0020766,EL EDEN,CA,90650,A,OW0100246,"FELIX-COLON, FRANCISCO",RESTAURANT (0-30) SEATS HIGH RISK,1632,EL EDEN,ACTIVE,PR0005109,90,DAKJWKHW3,1,ROUTINE INSPECTION
06-12-15,EE0000721,735 S FIGUEROA ST #117,LOS ANGELES,FA0138953,NEW MOON CAFE,CA,90017,A,OW0102231,NEW MOON CAFE LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,NEW MOON CAFE,ACTIVE,PR0123331,94,DASG0JGH0,1,ROUTINE INSPECTION
07-01-16,EE0000869,414 S WESTERN AVE STE D,LOS ANGELES,FA0179823,WESTERN SASHIMI,CA,90020-4191,A,OW0185313,"YONGSAN FOOD, INC",RESTAURANT (61-150) SEATS HIGH RISK,1638,WESTERN SASHIMI,INACTIVE,PR0173481,93,DABRAIDRT,1,ROUTINE INSPECTION
18-08-15,EE0000697,1712 S VICTORY BLVD,GLENDALE,FA0067618,NISHI-YA,CA,91201,A,OW0026125,"NISHIMURA, KENJI",RESTAURANT (31-60) SEATS HIGH RISK,1635,NISHI-YA,ACTIVE,PR0040786,97,DARBPN0YC,1,ROUTINE INSPECTION
31-05-16,EE0000836,1580 CENTINELA AVE STE 2,INGLEWOOD,FA0203026,LOUISIANA FRIED CHICKEN INGLEWOOD,CA,90302-1199,A,OW0208288,SOLIM TAN,RESTAURANT (0-30) SEATS HIGH RISK,1632,LOUISIANA FRIED CHICKEN INGLEWOOD,ACTIVE,PR0175342,95,DAC9ZRD7J,1,ROUTINE INSPECTION
21-07-16,EE0000732,2901 OCEAN PARK BLVD STE 102,SANTA MONICA,FA0051870,THE COUNTER,CA,90405,A,OW0039113,WOLFE RESTAURANT MANAGEMENT,RESTAURANT (61-150) SEATS HIGH RISK,1638,THE COUNTER,ACTIVE,PR0011747,95,DANWR32QF,1,ROUTINE INSPECTION
25-11-15,EE0000893,901 E 1ST ST,LOS ANGELES,FA0010568,OSSO DTLA,CA,90012,A,OW0015820,HOLLISTER VENETOS HOLDINGS,RESTAURANT (151 + ) SEATS HIGH RISK,1641,OSSO DTLA,INACTIVE,PR0037778,96,DAZMG0DEP,1,ROUTINE INSPECTION
04-10-16,EE0000860,31206 PALOS VERDES DR W,RANCHO PALOS VERDES,FA0050549,SWAN THAI RPV,CA,90275,A,OW0028818,PONGPAN CORPORATION,RESTAURANT (61-150) SEATS HIGH RISK,1638,SWAN THAI RPV,ACTIVE,PR0027956,91,DA00DH2AU,1,ROUTINE INSPECTION
23-02-16,EE0000744,15747 IMPERIAL HWY,LA MIRADA,FA0031631,K&T DONUTS,CA,90638,A,OW0014454,H&J'S DONUT HOUSE INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,K&T DONUTS,ACTIVE,PR0028175,92,DACZVVXK9,1,ROUTINE INSPECTION
27-08-15,EE0000821,828 W VALLEY BLVD,ALHAMBRA,FA0163078,CHENGDU TASTE,CA,91803-3233,C,OW0126752,"CHENGDU TASTE, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,CHENGDU TASTE,ACTIVE,PR0151248,72,DAKIPEKRK,1,ROUTINE INSPECTION
31-05-17,EE0000699,3317 W 6TH ST,LOS ANGELES,FA0060619,DAN SUNG SA,CA,90020,B,OW0007651,"CHO, BYUNG WUK",RESTAURANT (31-60) SEATS HIGH RISK,1635,DAN SUNG SA,ACTIVE,PR0031714,86,DAHXYHGZT,1,ROUTINE INSPECTION
14-10-15,EE0000272,201 E MAGNOLIA BLVD # 276,BURBANK,FA0177153,FIVE GUYS BURGERS & FRIES #635,CA,91502,A,OW0011913,"FIVE GUYS OPERATIONS, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,FIVE GUYS BURGERS AND FRIES # 635,ACTIVE,PR0170117,100,DAMOA3CST,1,ROUTINE INSPECTION
18-08-15,EE0000964,301 W LAS TUNAS DR,SAN GABRIEL,FA0175548,PAPA JOHN'S PIZZA,CA,91776,A,OW0180384,"PJCA-3, LP",RESTAURANT (0-30) SEATS MODERATE RISK,1631,PAPA JOHN'S PIZZA,ACTIVE,PR0168706,98,DAD1O6HXZ,1,ROUTINE INSPECTION
13-09-17,EE0000923,4414 E YORK BLVD,LOS ANGELES,FA0017366,CVS/PHARMACY #06976,CA,90041,B,OW0012926,"GARFIELD BEACH CVS, LLC.","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,CVS DRUGS STORE #06976,ACTIVE,PR0004888,84,DAUWPXYMO,1,ROUTINE INSPECTION
17-09-15,EE0000869,4048 W 3RD ST,LOS ANGELES,FA0008463,BASKIN ROBBINS,CA,90020,A,OW0020068,"KUNCHAVALLE,KUNAVUT",RESTAURANT (0-30) SEATS LOW RISK,1630,BASKIN ROBBINS,ACTIVE,PR0024921,92,DA4QRBXKP,1,ROUTINE INSPECTION
07-10-16,EE0000355,3000 BALDWIN PARK BLVD,BALDWIN PARK,FA0023333,FOOD 4 LESS #396,CA,91706,A,OW0012108,"FOOD 4 LESS, INC.","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,FOOD 4 LESS #396 - MEAT DEPT,ACTIVE,PR0028236,95,DA9YNSU6B,1,ROUTINE INSPECTION
28-12-16,EE0000729,1600 W SLAUSON AVE # #H-27,LOS ANGELES,FA0038139,MAIN SNACK SHOP,CA,90047,A,OW0007807,"CHOI, YOO SOOK",RESTAURANT (0-30) SEATS MODERATE RISK,1631,MAIN SNACK SHOP,ACTIVE,PR0000529,91,DAVUTKQB5,1,ROUTINE INSPECTION
14-11-17,EE0000822,8019 W SUNSET BLVD,LOS ANGELES,FA0025884,GREEN BLATTS,CA,90046,A,OW0018585,KAVIN ROY INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,GREEN BLATTS,ACTIVE,PR0017425,94,DAWYV9F2I,1,ROUTINE INSPECTION
27-09-16,EE0000927,9830 LONG BEACH BLVD,SOUTH GATE,FA0040299,WALGREENS #10262,CA,90280,A,OW0038319,WALGREENS CO.,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,WALGREENS #10262,ACTIVE,PR0007920,98,DARMZ47CR,1,ROUTINE INSPECTION
16-10-15,EE0000360,727 N BROADWAY STE 203,LOS ANGELES,FA0177677,RAMEN CHAMP,CA,90012,A,OW0183586,MKK FOODS LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,RAMEN CHAMP,ACTIVE,PR0170717,90,DAATHPJD6,1,ROUTINE INSPECTION
29-03-16,EE0000138,13721 BURBANK BLVD,VAN NUYS,FA0063971,IRELANDS 32,CA,91401,A,OW0029749,RAVAKEEN INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,IRELANDS 32,ACTIVE,PR0023073,96,DA1EAQVIY,1,ROUTINE INSPECTION
02-03-16,EE0000437,9257 SLAUSON AVE,PICO RIVERA,FA0050501,TAMARACK INN,CA,90660,A,OW0003611,B.A.V. INCORPORATED,RESTAURANT (61-150) SEATS HIGH RISK,1638,TAMARACK INN,ACTIVE,PR0032708,94,DAD2A5K2A,1,ROUTINE INSPECTION
27-01-16,EE0000476,757 S WORKMAN ST,SAN FERNANDO,FA0073233,VALLARTA SUPERMARKET #43,CA,91340,A,OW0037169,"VALLARTA FOOD ENTERPRISES, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,,ACTIVE,PR0008831,91,DALU6RSNN,1,ROUTINE INSPECTION
15-03-17,EE0000234,7700 FOOTHILL BLVD,TUJUNGA,FA0049730,SUPER BURGERS,CA,91042,A,OW0013117,"GEZERLIS, JOHN G",RESTAURANT (0-30) SEATS HIGH RISK,1632,SUPER BURGERS,ACTIVE,PR0012220,96,DABFR8PA0,1,ROUTINE INSPECTION
03-10-17,EE0000834,12612 E SOUTH ST,CERRITOS,FA0007640,AVE 3 PIZZA,CA,90703,A,OW0003205,ASHISH USA INCORPORATED,RESTAURANT (0-30) SEATS HIGH RISK,1632,AVE 3 PIZZA,ACTIVE,PR0008805,90,DANEK7VXP,1,ROUTINE INSPECTION
24-05-16,EE0001036,1200 N SEPULVEDA BLVD,MANHATTAN BEACH,FA0071920,TARGET STORES T-199,CA,90266,A,OW0035036,TARGET CORPORATION,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,TARGET STORES T-199,ACTIVE,PR0034873,98,DA1Y0WJCN,1,ROUTINE INSPECTION
19-09-17,EE0000707,501 E JEFFERSON BLVD,LOS ANGELES,FA0250301,LA SIRENITA WATER,CA,90011,A,OW0244436,EDELMIRA VILLALOBOS,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LA SIRENITA WATER,ACTIVE,PR0199254,95,DADIDBRW2,1,ROUTINE INSPECTION
13-07-17,EE0000965,5990 PACIFIC BLVD,HUNTINGTON PARK,FA0028894,POLLO CAMPERO #4,CA,90255,A,OW0001728,ADIR RESTAURANT CORP,RESTAURANT (61-150) SEATS HIGH RISK,1638,POLLO CAMPERO #4,INACTIVE,PR0048110,96,DAACE0NA8,1,ROUTINE INSPECTION
22-03-17,EE0000207,26500 W AGOURA RD STE 104,CALABASAS,FA0019159,DOMINO'S PIZZA,CA,91302,A,OW0035963,TIMOTHY L BEHM INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOMINO'S PIZZA,ACTIVE,PR0046737,94,DAMM79FFV,1,ROUTINE INSPECTION
15-12-17,EE0000437,4712 DURFEE AVE,PICO RIVERA,FA0065284,LA POTOSINA BAKERY,CA,90660,A,OW0026979,"ORTIZ, TARISCIO NAVARETTE",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA POTOSINA BAKERY,ACTIVE,PR0017604,97,DAGECH0CP,1,ROUTINE INSPECTION
22-08-17,EE0000945,525 S GAFFEY ST,SAN PEDRO,FA0179214,MVP PIZZA,CA,90731-2437,A,OW0184806,MVP PIZAA INCORPORATED,RESTAURANT (61-150) SEATS HIGH RISK,1638,MVP PIZZA,ACTIVE,PR0172774,91,DALDAYWQT,1,ROUTINE INSPECTION
